Bugfix	-0.07972094610959818
recurse	-0.022100142043998586
symbols	-0.012197898071551678
new	-0.009736695405401738
C	-0.009630996723010743
Feature	-0.00812589061542281
Detail	-0.006182924947303293
Purpose	-0.0047870203913353525
looking	-0.0045102854140837085
adding	-0.004502585540009828
See	-0.00422796947243581
roots	-0.004079346906930087
many	-0.003920103058346453
While	0.003299669067964865
through	-0.003018656028326587
false	-0.002829099869565016
crash	-0.0024925951421329636
up	0.002492057652781644
skip	0.0023921327863244512
will	-0.002311582916348933
for	-0.0021975306085721407
anon	-0.002135285293415425
and	0.0019089068546787368
or	-0.0016294907075311085
it	0.0015769845429719847
