py	0.010479615776720297
str	0.0077263811535717266
line	-0.007360096275487895
int	0.005402889086336195
def	0.0052225856952250104
param	0.004824315762938385
config	0.003772981639781911
Multiline	0.0027834709032164293
Extended	-0.0026359604413067894
summary	-0.0026028381229034063
Config	0.0024681114143713548
actual	-0.0023694112455650844
runtime	0.0022291999254254818
return	-0.0022273672832716085
textwrap	0.002200921640292401
class	-0.00220089995683851
super	0.0021456271320983316
BaseDocstringTest	0.0019442007594165525
Copyright	-0.0018653948830880873
device	0.001838883527312201
Example	-0.0018222885134864272
description	-0.0017387144082410576
expected	-0.0017217776865519297
attr2	-0.0017160797122096547
warning	0.001670739893088015
b	0.0016675751677524139
kwargs	-0.001662337070055093
if	-0.0016611441116892584
kwtype	-0.0016190397318044363
If	-0.001571344880700818
above	0.0015042111070194476
It	0.0015027253013863617
foo	0.001439336880383253
1	0.0014234243214169661
arg3	0.0013386041056286197
Function	0.001269411913907021
len	0.001264063840311783
Allows	-0.0012015671672173914
assertEqual	0.00115044066597453
n	-0.0010906753241430294
module	-0.0010849755698853487
Also	-0.000983539467458682
fields	-0.0009624469697742167
ivar	0.0009405190513995817
InvalidDimensionsError	0.0008912270009275769
FieldData	-0.0007612112299005642
Type	0.0006020857103184814
loopback	-0.0005975035389706369
danger	-0.00047540927109710623
Construct	0.0003350823144996376
